run_id,index,beetle_id,runs_dance,spontaneous_start,spontaneous_end,distance_cm,place,light,dance_by,at_run,condition,calibration_id,comment,row_number,target_width,runs_path,window_size,fps,runs_fullfile,runs_recording_datetime,start_datetime,poi,runs_file,start,stop,start_location,tij_file
48,69,ID66,00:01:52.192,,,460,outdoors,shift,hold,2,450cm_dance_run02_pre,20230114_mirror_dance02_dance_ID66.MTS,,69,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230114_mirror_dance02_dance_ID66.MTS,2023-01-14T09:07:48.0,2023-01-14T09:09:36.0,112.192,"[""20230114_mirror_dance02_dance_ID66.MTS"", ""20230114_mirror_dance02_dance_ID66.MTS""]","[108.0, 115.52]","[112.192, 131.857]","Union{Missing, Tuple{Int64, Int64}}[missing, missing]",48.csv
49,71,ID67,,,,460,outdoors,shift,no,2,450cm_midroll_run02,20230114_mirror_dance02_midroll_ID67.MTS,,71,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230114_mirror_dance02_midroll_ID67.MTS,2023-01-14T09:14:16.0,2023-01-14T09:16:14.0,121.283,20230114_mirror_dance02_midroll_ID67.MTS,117.863,133.519,,49.csv
50,72,ID68,00:02:25.391,,,460,outdoors,shift,hold,2,450cm_dance_run02_pre,20230114_mirror_dance02_dance_ID68.MTS,,72,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230114_mirror_dance02_dance_ID68.MTS,2023-01-14T09:21:33.0,2023-01-14T09:23:54.0,145.391,"[""20230114_mirror_dance02_dance_ID68.MTS"", ""20230114_mirror_dance02_dance_ID68.MTS""]","[141.0, 153.939]","[145.391, 166.18]","Union{Missing, Tuple{Int64, Int64}}[missing, missing]",50.csv
51,74,ID69,,,,460,outdoors,shift,no,2,450cm_midroll_run02,20230114_mirror_dance02_midroll_ID69.MTS,,74,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230114_mirror_dance02_midroll_ID69.MTS,2023-01-14T09:28:49.0,2023-01-14T09:31:23.0,159.698,20230114_mirror_dance02_midroll_ID69.MTS,154.482,165.369,,51.csv
52,75,ID70,00:02:37.453,,,460,outdoors,shift,hold,2,450cm_dance_run02_pre,20230114_mirror_dance02_dance_ID70.MTS,,75,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230114_mirror_dance02_dance_ID70.MTS,2023-01-14T09:36:31.0,2023-01-14T09:39:04.0,157.453,"[""20230114_mirror_dance02_dance_ID70.MTS"", ""20230114_mirror_dance02_dance_ID70.MTS""]","[153.124, 161.773]","[157.453, 174.0]","Union{Missing, Tuple{Int64, Int64}}[missing, missing]",52.csv
53,77,ID71,,,,460,outdoors,shift,no,2,450cm_midroll_run02,20230114_mirror_dance02_midroll_ID71.MTS,,77,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230114_mirror_dance02_midroll_ID71.MTS,2023-01-14T09:42:32.0,2023-01-14T09:51:04.0,516.0,20230114_mirror_dance02_midroll_ID71.MTS,511.986,527.463,,53.csv
55,80,ID73,,,,460,outdoors,shift,no,2,450cm_midroll_run02,20230114_mirror_dance02_midroll_ID73.MTS,,80,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230114_mirror_dance02_midroll_ID73.MTS,2023-01-14T10:02:22.0,2023-01-14T10:05:09.0,171.31,20230114_mirror_dance02_midroll_ID73.MTS,166.811,179.8,,55.csv
57,83,ID76,00:03:22.989,,,460,outdoors,shift,hold,2,450cm_dance_run02_pre,20230114_mirror_dance02_dance_ID76.MTS,,83,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230114_mirror_dance02_dance_ID76.MTS,2023-01-14T14:37:57.0,2023-01-14T14:41:15.0,202.989,"[""20230114_mirror_dance02_dance_ID76.MTS"", ""20230114_mirror_dance02_dance_ID76.MTS""]","[198.22, 222.0]","[202.989, 235.0]","Union{Missing, Tuple{Int64, Int64}}[missing, missing]",57.csv
58,85,ID77,,00:04:52.615,00:04:56.3,460,outdoors,shift,no,2,450cm_spontaneous_run02,20230114_mirror_dance02_spontaneous_ID77.MTS,,85,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230114_mirror_dance02_spontaneous_ID77.MTS,2023-01-14T14:47:00.0,2023-01-14T14:51:45.0,291.356,20230114_mirror_dance02_spontaneous_ID77.MTS,284.516,318.8,,58.csv
59,86,ID81,,,,460,outdoors,shift,no,2,450cm_midroll_run02,20230114_mirror_dance02_midroll_ID81.MTS,,86,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230114_mirror_dance02_midroll_ID81.MTS,2023-01-14T15:47:28.0,2023-01-14T15:51:21.0,239.155,20230114_mirror_dance02_midroll_ID81.MTS,233.127,254.543,,59.csv
60,87,ID84,,,,460,outdoors,shift,no,1,450cm_midroll_run01,20230116_mirror_dance01_ID84_and_dance10_ID85.MTS,,87,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230116_mirror_dance01_ID84_and_dance10_ID85.MTS,2023-01-16T08:28:40.0,2023-01-16T08:32:02.0,205.863,20230116_mirror_dance01_ID84_and_dance10_ID85.MTS,202.0,226.306,,60.csv
61,88,ID85,00:09:18.597,,,460,outdoors,shift,hold,10,450cm_dance_run10_pre,20230116_dance10_ID85_measure.MTS,,88,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230116_mirror_dance01_ID84_and_dance10_ID85.MTS,2023-01-16T08:28:40.0,2023-01-16T08:37:53.0,558.597,"[""20230116_mirror_dance01_ID84_and_dance10_ID85.MTS"", ""20230116_mirror_dance01_ID84_and_dance10_ID85.MTS""]","[553.0, 563.634]","[558.597, 588.159]","Union{Missing, Tuple{Int64, Int64}}[missing, missing]",61.csv
62,90,ID87,00:10:34.472,,,460,outdoors,shift,no,10,450cm_midroll_run10,20230116_mirror_dance10_midroll_ID87_part2.MTS,,90,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230116_mirror_dance10_midroll_ID87_part1.MTS,2023-01-16T08:58:46.0,2023-01-16T09:09:06.0,626.174,"[""20230116_mirror_dance10_midroll_ID87_part1.MTS"", ""20230116_mirror_dance10_midroll_ID87_part2.MTS""]","[620.416, 0.0]","[634.472, 7.0]","Union{Missing, Tuple{Int64, Int64}}[missing, missing]",62.csv
63,92,ID131,00:01:51.648,,,460,outdoors,shift,hold,1,450cm_dance_run01_pre,20230118_mirror_dance01_dance_ID131.MTS,,92,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230118_mirror_dance01_dance_ID131.MTS,2023-01-18T14:32:40.0,2023-01-18T14:34:29.0,111.648,"[""20230118_mirror_dance01_dance_ID131.MTS"", ""20230118_mirror_dance01_dance_ID131.MTS""]","[109.128, 120.0]","[111.648, 131.0]","Union{Missing, Tuple{Int64, Int64}}[missing, missing]",63.csv
64,94,ID132,00:02:33.438,,,460,outdoors,shift,hold,10,450cm_dance_run10_pre,20230118_mirror_dance10_dance_ID132.MTS,,94,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230118_mirror_dance10_dance_ID132.MTS,2023-01-18T14:49:14.0,2023-01-18T14:51:44.0,153.438,"[""20230118_mirror_dance10_dance_ID132.MTS"", ""20230118_mirror_dance10_dance_ID132.MTS""]","[149.714, 162.672]","[153.438, 174.0]","Union{Missing, Tuple{Int64, Int64}}[missing, missing]",64.csv
65,96,ID133,00:06:56.425,,,460,outdoors,shift,hold,10,450cm_dance_run10_pre,20230118_mirror_dance10_dance_ID133.MTS,,96,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230118_mirror_dance10_dance_ID133.MTS,2023-01-18T14:56:41.0,2023-01-18T15:03:34.0,416.425,"[""20230118_mirror_dance10_dance_ID133.MTS"", ""20230118_mirror_dance10_dance_ID133.MTS""]","[412.913, 421.642]","[416.425, 430.0]","Union{Missing, Tuple{Int64, Int64}}[missing, missing]",65.csv
66,98,ID134,00:02:09.560,,,460,outdoors,shift,hold,1,450cm_dance_run01_pre,20230118_mirror_dance01_dance_ID134.MTS,,98,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230118_mirror_dance01_dance_ID134.MTS,2023-01-18T15:10:14.0,2023-01-18T15:12:21.0,129.56,"[""20230118_mirror_dance01_dance_ID134.MTS"", ""20230118_mirror_dance01_dance_ID134.MTS""]","[126.502, 132.438]","[129.56, 143.957]","Union{Missing, Tuple{Int64, Int64}}[missing, missing]",66.csv
67,100,ID135,00:04:12.565,,,460,outdoors,shift,hold,10,450cm_dance_run10_pre,20230118_mirror_dance10_dance_ID135.MTS,,100,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230118_mirror_dance10_dance_ID135.MTS,2023-01-18T15:17:19.0,2023-01-18T15:21:27.0,252.565,"[""20230118_mirror_dance10_dance_ID135.MTS"", ""20230118_mirror_dance10_dance_ID135.MTS""]","[248.425, 263.9]","[252.565, 280.0]","Union{Missing, Tuple{Int64, Int64}}[missing, missing]",67.csv
68,102,ID136,00:01:45.622,,,460,outdoors,shift,hold,1,450cm_dance_run01_pre,20230118_mirror_dance01_dance_ID136.MTS,,102,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230118_mirror_dance01_dance_ID136.MTS,2023-01-18T15:26:00.0,2023-01-18T15:27:43.0,105.622,"[""20230118_mirror_dance01_dance_ID136.MTS"", ""20230118_mirror_dance01_dance_ID136.MTS""]","[103.0, 110.662]","[105.622, 127.577]","Union{Missing, Tuple{Int64, Int64}}[missing, missing]",68.csv
69,104,ID137,00:03:46.569,,,460,outdoors,shift,hold,10,450cm_dance_run10_pre,20230118_mirror_dance10_dance_ID137.MTS,,104,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230118_mirror_dance10_dance_ID137.MTS,2023-01-18T15:30:56.0,2023-01-18T15:34:40.0,226.569,"[""20230118_mirror_dance10_dance_ID137.MTS"", ""20230118_mirror_dance10_dance_ID137.MTS""]","[223.692, 235.48]","[226.569, 246.0]","Union{Missing, Tuple{Int64, Int64}}[missing, missing]",69.csv
70,106,ID138,00:03:47,,,460,outdoors,shift,hold,1,450cm_dance_run01_pre,20230118_mirror_dance01_dance_ID138.MTS,,106,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230118_mirror_dance01_dance_ID138.MTS,2023-01-18T15:39:02.0,2023-01-18T15:42:46.0,227.0,"[""20230118_mirror_dance01_dance_ID138.MTS"", ""20230118_mirror_dance01_dance_ID138.MTS""]","[224.0, 238.0]","[227.0, 245.6]","Union{Missing, Tuple{Int64, Int64}}[missing, missing]",70.csv
71,108,ID139,00:02:54.736,,,460,outdoors,shift,hold,10,450cm_dance_run10_pre,20230118_mirror_dance10_dance_ID139.MTS,,108,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230118_mirror_dance10_dance_ID139.MTS,2023-01-18T15:46:42.0,2023-01-18T15:49:33.0,174.736,"[""20230118_mirror_dance10_dance_ID139.MTS"", ""20230118_mirror_dance10_dance_ID139.MTS""]","[171.3, 183.196]","[174.736, 193.0]","Union{Missing, Tuple{Int64, Int64}}[missing, missing]",71.csv
72,110,ID140,00:02:37.452,,,460,outdoors,shift,hold,10,450cm_dance_run10_pre,20230118_mirror_dance10_dance_ID140.MTS,,110,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230118_mirror_dance10_dance_ID140.MTS,2023-01-18T15:54:00.0,2023-01-18T15:56:34.0,157.452,"[""20230118_mirror_dance10_dance_ID140.MTS"", ""20230118_mirror_dance10_dance_ID140.MTS""]","[154.0, 161.234]","[157.452, 181.0]","Union{Missing, Tuple{Int64, Int64}}[missing, missing]",72.csv
73,112,B01,,,,460,outdoors,shift,no,10,450cm_midroll_run10,20231115_10_dances_01_midroll_B01.MTS,,112,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20231115_10_dances_01_midroll_B01.MTS,2023-11-15T08:22:30.0,2023-11-15T08:27:04.0,276.531,20231115_10_dances_01_midroll_B01.MTS,273.835,356.0,,73.csv
75,114,B09,,,,460,outdoors,shift,no,10,450cm_midroll_run10,20231115_10_dances_05_midroll_B09.MTS,,114,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20231115_10_dances_05_midroll_B09.MTS,2023-11-15T14:01:47.0,2023-11-15T14:03:56.0,131.234,20231115_10_dances_05_midroll_B09.MTS,128.714,138.437,,75.csv
76,115,B12,,"00:02:23.303,00:02:29.425","00:02:27,00:02:30.773",460,outdoors,shift,no,10,450cm_spontaneous_run10,20231115_10_dances_06_spontaneous_B12.MTS,,115,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20231115_10_dances_06_spontaneous_B12.MTS,2023-11-15T14:32:59.0,2023-11-15T14:35:18.0,140.96,20231115_10_dances_06_spontaneous_B12.MTS,138.534,159.238,,76.csv
77,116,B15,,,,460,outdoors,shift,no,10,450cm_midroll_run10,20231115_10_dances_07_midroll_B15.MTS,,116,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20231115_10_dances_07_midroll_B15.MTS,2023-11-15T15:02:33.0,2023-11-15T15:04:37.0,126.731,20231115_10_dances_07_midroll_B15.MTS,124.122,133.7,,77.csv
79,118,B02,,00:02:53.096,00:02:58,460,outdoors,shift,no,1,450cm_spontaneous_run01,20231115_01_dances_01_spontaneous_B02.MTS,,118,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20231115_01_dances_01_spontaneous_B02.MTS,2023-11-15T08:39:55.0,2023-11-15T08:42:41.0,167.962,20231115_01_dances_01_spontaneous_B02.MTS,166.0,196.0,,79.csv
81,120,B06,,,,460,outdoors,shift,no,1,450cm_midroll_run01,20231115_01_dances_03_midroll_B06.MTS,,120,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20231115_01_dances_03_midroll_B06.MTS,2023-11-15T09:19:56.0,2023-11-15T09:24:56.0,303.645,20231115_01_dances_03_midroll_B06.MTS,299.664,316.137,,81.csv
82,121,B08,,00:02:54.629,00:03:04,460,outdoors,shift,no,1,450cm_spontaneous_run01,20231115_01_dances_04_spontaneous_B08.MTS,,121,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20231115_01_dances_04_spontaneous_B08.MTS,2023-11-15T09:41:54.0,2023-11-15T09:44:39.0,167.698,20231115_01_dances_04_spontaneous_B08.MTS,164.635,199.563,,82.csv
83,122,B10,,00:01:21,00:01:23,460,outdoors,shift,no,1,450cm_spontaneous_run01,20231115_01_dances_05_spontaneous_B10.MTS,,122,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20231115_01_dances_05_spontaneous_B10.MTS,2023-11-15T14:13:20.0,2023-11-15T14:14:36.0,80.375,20231115_01_dances_05_spontaneous_B10.MTS,75.725,90.5,,83.csv
84,123,B13,,"00:02:22.570,00:02:40","00:02:30.85,00:02:43.819",460,outdoors,shift,no,1,450cm_spontaneous_run01,20231115_01_dances_06_spontaneous_B13.MTS,,123,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20231115_01_dances_06_spontaneous_B13.MTS,2023-11-15T14:42:03.0,2023-11-15T14:44:20.0,141.578,20231115_01_dances_06_spontaneous_B13.MTS,137.169,171.0,,84.csv
85,124,B16,,00:01:43,00:02:01.2,460,outdoors,shift,no,1,450cm_spontaneous_run01,20231115_01_dances_07_spontaneous_B16.MTS,,124,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20231115_01_dances_07_spontaneous_B16.MTS,2023-11-15T15:11:35.0,2023-11-15T15:13:09.0,98.918,20231115_01_dances_07_spontaneous_B16.MTS,94.054,129.794,,85.csv
86,125,B18,,,,460,outdoors,shift,no,1,450cm_midroll_run01,20231116_01_dances_08_midroll_B18.MTS,,125,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20231116_01_dances_08_midroll_B18.MTS,2023-11-16T08:14:55.0,2023-11-16T08:16:38.0,106.215,20231116_01_dances_08_midroll_B18.MTS,102.876,115.126,,86.csv
88,127,B11,,00:03:04,00:03:17.494,460,outdoors,shift,no,2,450cm_spontaneous_run02,20231115_02_dances_01_midroll_B11.MTS,,127,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20231115_02_dances_01_midroll_B11.MTS,2023-11-15T14:20:34.0,2023-11-15T14:23:29.0,178.489,20231115_02_dances_01_midroll_B11.MTS,175.339,209.0,,88.csv
89,128,B14,,,,460,outdoors,shift,no,2,450cm_midroll_run02,20231115_02_dances_02_midroll_B14.MTS,,128,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20231115_02_dances_02_midroll_B14.MTS,2023-11-15T14:53:33.0,2023-11-15T14:55:58.0,149.147,20231115_02_dances_02_midroll_B14.MTS,145.275,160.938,,89.csv
90,129,B19,,,,460,outdoors,shift,no,2,450cm_midroll_run02,20231116_02_dances_03_midroll_B19.MTS,,129,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20231116_02_dances_03_midroll_B19.MTS,2023-11-16T08:22:24.0,2023-11-16T08:24:57.0,157.163,20231116_02_dances_03_midroll_B19.MTS,152.751,170.0,,90.csv
92,131,B24,,,,460,outdoors,shift,no,2,450cm_midroll_run02,20231116_02_dances_06_midroll_B24.MTS,,131,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20231116_02_dances_06_midroll_B24.MTS,2023-11-16T09:17:58.0,2023-11-16T09:21:08.0,193.534,20231116_02_dances_06_midroll_B24.MTS,189.937,208.749,,92.csv
93,132,B25,,,,460,outdoors,shift,no,2,450cm_midroll_run02,20231116_02_dances_07_midroll_B25.MTS,,132,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20231116_02_dances_07_midroll_B25.MTS,2023-11-16T09:29:18.0,2023-11-16T09:32:19.0,184.886,20231116_02_dances_07_midroll_B25.MTS,181.016,194.6,,93.csv
94,133,B26,,,,460,outdoors,shift,no,2,450cm_midroll_run02,20231116_02_dances_08_midroll_B26.MTS,,133,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20231116_02_dances_08_midroll_B26.MTS,2023-11-16T09:38:31.0,2023-11-16T09:40:48.0,140.065,20231116_02_dances_08_midroll_B26.MTS,137.363,159.058,,94.csv
95,134,B27,,,,460,outdoors,shift,no,2,450cm_midroll_run02,20231117_02_dances_09_midroll_B27.MTS,,134,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20231117_02_dances_09_midroll_B27.MTS,2023-11-17T08:28:26.0,2023-11-17T08:31:14.0,170.771,20231117_02_dances_09_midroll_B27.MTS,167.709,179.677,,95.csv
96,135,B28,,,,460,outdoors,shift,no,2,450cm_midroll_run02,20231117_02_dances_10_midroll_B28.MTS,,135,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20231117_02_dances_10_midroll_B28.MTS,2023-11-17T08:38:07.0,2023-11-17T08:39:52.0,108.147,20231117_02_dances_10_midroll_B28.MTS,104.825,117.0,,96.csv
97,136,Bela-Bela_02,,,,460,outdoors,shift,no,10,450cm_midroll_run10,20221120_mirror_dance10_midroll_Bela-Bela_02.MTS,,136,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20221120_mirror_dance10_midroll_Bela-Bela_02.MTS,2022-11-19T21:59:23.0,2022-11-19T22:02:24.0,183.902,20221120_mirror_dance10_midroll_Bela-Bela_02.MTS,181.38,191.462,,97.csv
109,148,Bela-Bela_20,00:06:44.631,,,460,outdoors,shift,no,10,450cm_midroll_run10,20221123_mirror_dance10_midroll_Bela-Bela_20.MTS,,148,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20221123_mirror_dance10_midroll_Bela-Bela_20.MTS,2022-11-23T03:31:24.0,2022-11-23T03:37:46.0,384.105,20221123_mirror_dance10_midroll_Bela-Bela_20.MTS,381.761,408.0,,109.csv
116,155,Bela-Bela_28,,,,460,outdoors,shift,no,2,450cm_midroll_run02,20221126_mirror_dance02_midroll_Bela-Bela_28.MTS,,155,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20221126_mirror_dance02_midroll_Bela-Bela_28.MTS,2022-11-26T03:02:32.0,2022-11-26T03:09:17.0,410.665,20221126_mirror_dance02_midroll_Bela-Bela_28.MTS,404.726,418.141,,116.csv
117,156,Bela-Bela_29,,,,460,outdoors,shift,no,2,450cm_midroll_run02,20221127_mirror_dance02_midroll_Bela-Bela_29.MTS,,156,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20221127_mirror_dance02_midroll_Bela-Bela_29.MTS,2022-11-27T02:31:41.0,2022-11-27T02:33:46.0,127.908,20221127_mirror_dance02_midroll_Bela-Bela_29.MTS,124.753,137.359,,117.csv
118,157,Bela-Bela_30,,,,460,outdoors,shift,no,2,450cm_midroll_run02,20221127_mirror_dance02_midroll_Bela-Bela_30.MTS,,157,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20221127_mirror_dance02_midroll_Bela-Bela_30.MTS,2022-11-27T02:38:06.0,2022-11-27T02:40:27.0,143.662,20221127_mirror_dance02_midroll_Bela-Bela_30.MTS,140.602,154.0,,118.csv
119,158,Bela-Bela_31,,00:02:22.936,00:02:30.9,460,outdoors,shift,no,2,450cm_spontaneous_run02,20221127_mirror_dance02_spontaneous_Bela-Bela_31.MTS,,158,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20221127_mirror_dance02_spontaneous_Bela-Bela_31.MTS,2022-11-27T03:04:00.0,2022-11-27T03:06:17.0,141.043,20221127_mirror_dance02_spontaneous_Bela-Bela_31.MTS,137.441,163.0,,119.csv
120,159,ID23,,00:02:23.053,00:02:26.29,460,outdoors,shift,no,2,450cm_spontaneous_run02,20230112_mirror_dance02_ID23.MTS,,159,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230112_mirror_dance02_ID23.MTS,2023-01-12T09:41:05.0,2023-01-12T09:43:15.0,134.597,20230112_mirror_dance02_ID23.MTS,130.186,158.81,,120.csv
122,161,ID46,,00:06:59.396,00:07:00,460,outdoors,shift,no,2,450cm_spontaneous_run02,20230113_mirror_dance02_ID46.MTS,,161,40,.,20,,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230113_mirror_dance02_ID46.MTS,2023-01-13T09:50:19.0,2023-01-13T09:57:08.0,413.097,20230113_mirror_dance02_ID46.MTS,408.598,434.5,,122.csv
