index,condition,elevation,nr_in_cond,individual,year_extracted,person_extracted,total_rotation,go_down_angle_FACE,exit_angle_BUTT,rotation_category,placed_from_angle_FACE,nr_direction_changes,rotation_1_direction,full_lap_1,stop_1_angle_FACE,rotation_2_direction,full_lap_2,stop_2_angle_FACE,rotation_3_direction,full_lap_3,stop_3_angle_FACE
1,LED,5,1,#01_20170509,2025,Elin,310,150,325,both,40,1,cw,0,70,ccw,0,150,,,
2,LED,5,2,#02_20170509,2025,Elin,55,110,315,ccw,165,0,ccw,0,110,,,,,,
3,LED,5,3,#03_20170509,2025,Elin,280,115,320,ccw,35,0,ccw,0,115,,,,,,
4,LED,5,4,#04_20170509,2025,Elin,95,305,110,ccw,40,0,ccw,0,305,,,,,,
5,LED,5,5,#05_20170509,2025,Elin,55,60,310,ccw,115,0,ccw,0,60,,,,,,
6,LED,5,6,#06_20170509,2025,Elin,240,75,315,ccw,315,0,ccw,0,75,,,,,,
7,LED,5,7,#07_20170509,2025,Elin,85,220,125,ccw,305,0,ccw,0,220,,,,,,
8,LED,5,8,#08_20170509,2025,Elin,125,90,240,cw,325,0,cw,0,90,,,,,,
9,LED,5,9,#09_20170529,2025,Elin,170,200,5,ccw,10,0,ccw,0,200,,,,,,
10,LED,5,10,#10_20170529,2025,Elin,85,70,285,ccw,155,0,ccw,0,70,,,,,,
11,LED,5,11,#11_20170529,2025,Elin,NA,,,,,,,,,,,,,,
12,LED,5,12,#12_20170529,2025,Elin,25,290,185,ccw,315,0,ccw,0,290,,,,,,
13,LED,5,13,#13_20170529,2025,Elin,185,230,335,ccw,55,0,ccw,0,230,,,,,,
14,LED,5,14,#14_20170529,2025,Elin,90,145,325,ccw,235,0,ccw,0,145,,,,,,
15,LED,5,15,#15_20170529,2025,Elin,125,20,195,cw,255,0,cw,0,20,,,,,,
16,LED,5,16,#16_20170529,2025,Elin,50,320,110,cw,270,0,cw,0,320,,,,,,
17,LED,5,17,#17_20170529,2025,Elin,125,155,335,ccw,280,0,ccw,0,155,,,,,,
18,LED,5,18,#18_20170529,2025,Elin,65,170,330,ccw,235,0,ccw,0,170,,,,,,
19,LED,5,19,#19_20170529,2025,Elin,80,55,240,cw,335,0,cw,0,55,,,,,,
20,LED,5,20,#20_20170529,2025,Elin,310,180,5,cw,230,0,cw,0,180,,,,,,
21,LED,5,21,#21_20170616,2025,Elin,240,95,240,ccw,335,0,ccw,0,95,,,,,,
22,LED,5,22,#22_20170616,2025,Elin,310,280,100,cw,330,0,cw,0,280,,,,,,
23,LED,5,23,#23_20170619,2025,Elin,80,230,345,ccw,310,0,ccw,0,230,,,,,,
24,LED,5,24,#24_20170616,2025,Elin,80,220,260,ccw,300,0,ccw,0,220,,,,,,
25,LED,5,25,#25_20170619,2025,Elin,225,5,140,ccw,230,0,ccw,0,5,,,,,,
26,LED,5,26,#26_22062017,2025,Elin,NA,,,,,,,,,,,,,,
27,LED,5,27,#27_20170622,2025,Elin,120,305,85,ccw,65,0,ccw,0,305,,,,,,
28,LED,5,28,#28_28062017,2025,Elin,240,115,320,cw,235,0,cw,0,115,,,,,,
29,LED,5,29,#29_27062017,2025,Elin,90,175,325,cw,85,0,cw,0,175,,,,,,
30,LED,22,1,#01_20170328,2025,Elin,210,280,85,ccw,130,0,ccw,0,280,,,,,,
31,LED,22,2,#02_20170328,2025,Elin,10,50,215,ccw,60,0,ccw,0,50,,,,,,
32,LED,22,3,#03_20170328,2025,Elin,NA,,,,,,,,,,,,,,
33,LED,22,4,#04_20170328,2025,Elin,105,265,120,both,250,1,cw,0,310,ccw,0,265,,,
34,LED,22,5,#05_20170329,2025,Elin,365,15,210,ccw,20,0,ccw,1,15,,,,,,
35,LED,22,6,#06_20170329,2025,Elin,310,60,245,both,130,1,cw,0,250,ccw,0,60,,,
36,LED,22,7,#07_20170329,2025,Elin,245,125,310,ccw,10,0,ccw,0,125,,,,,,
37,LED,22,8,#08_20170329,2025,Elin,NA,,,,,,,,,,,,,,
38,LED,22,9,#09_20170329,2025,Elin,230,145,310,both,355,1,ccw,0,135,cw,0,145,,,
39,LED,22,10,#10_20170329,2025,Elin,135,100,255,cw,325,0,cw,0,100,,,,,,
40,LED,22,11,#11_20170329,2025,Elin,180,165,310,cw,345,0,cw,0,165,,,,,,
41,LED,22,12,#12_20170329,2025,Elin,70,125,170,ccw,195,0,ccw,0,125,,,,,,
42,LED,22,13,#13_20170329,2025,Elin,235,185,0,ccw,60,0,ccw,0,185,,,,,,
43,LED,22,14,#14_20170329,2025,Elin,275,180,335,both,55,2,ccw,0,40,cw,0,60,ccw,0,180
44,LED,22,15,#15_20170329,2025,Elin,175,215,30,both,130,1,ccw,0,85,cw,0,215,,,
45,LED,22,16,#16_20170329,2025,Elin,280,125,220,ccw,45,0,ccw,0,125,,,,,,
46,LED,22,17,#17_20170330,2025,Elin,85,30,220,ccw,115,0,ccw,0,30,,,,,,
47,LED,22,18,#18_20170330,2025,Elin,355,110,280,cw,115,0,cw,0,110,,,,,,
48,LED,22,19,#19_20170330,2025,Elin,295,120,340,both,275,1,cw,0,345,ccw,0,120,,,
49,LED,22,20,#20_20170330,2025,Elin,330,250,65,cw,280,0,cw,0,250,,,,,,
50,LED,22,21,#21_20170330,2025,Elin,140,20,240,ccw,160,0,ccw,0,20,,,,,,
51,LED,22,22,#22_20170330,2025,Elin,410,180,10,cw,130,0,cw,1,180,,,,,,
52,LED,22,23,,2025,Elin,NA,,,,,,,,,,,,,,
53,LED,22,24,,2025,Elin,NA,,,,,,,,,,,,,,
54,LED,22,25,,2025,Elin,NA,,,,,,,,,,,,,,
55,LED,22,26,,2025,Elin,NA,,,,,,,,,,,,,,
56,LED,22,27,,2025,Elin,NA,,,,,,,,,,,,,,
57,LED,22,28,,2025,Elin,NA,,,,,,,,,,,,,,
58,LED,22,29,#29_20170331,2025,Elin,190,35,235,cw,205,0,cw,0,35,,,,,,
59,LED,22,30,#30_20170331,2025,Elin,465,215,20,both,260,2,cw,0,60,ccw,0,165,cw,0,215
60,LED,22,31,#31_20170331,2025,Elin,285,120,310,both,265,1,ccw,0,230,cw,0,120,,,
61,LED,22,32,#32_20170331,2025,Elin,310,115,310,both,235,1,ccw,0,200,cw,0,115,,,
62,LED,22,33,#33_20170331,2025,Elin,315,155,315,ccw,110,0,ccw,0,155,,,,,,
63,LED,22,34,#34_20170403,2025,Elin,25,220,55,ccw,245,0,ccw,0,220,,,,,,
64,LED,22,35,#35_20170403,2025,Elin,65,55,325,cw,350,0,cw,0,55,,,,,,
65,LED,22,36,#36_20170403,2025,Elin,155,75,200,ccw,230,0,ccw,0,75,,,,,,
66,LED,22,37,#37_20170403,2025,Elin,5,270,85,ccw,275,0,ccw,0,270,,,,,,
67,LED,22,38,#38_20170403,2025,Elin,75,70,225,ccw,145,0,ccw,0,70,,,,,,
68,LED,22,39,#39_20170403,2025,Elin,105,205,60,ccw,310,0,ccw,0,205,,,,,,
69,LED,45,1,#01_20170411,2025,Elin,310,125,355,cw,175,0,cw,0,125,,,,,,
70,LED,45,2,#02_20170411,2025,Elin,165,125,345,both,240,1,cw,0,265,ccw,0,125,,,
71,LED,45,3,#03_20170411,2025,Elin,200,0,155,both,190,1,ccw,0,175,cw,0,0,,,
72,LED,45,4,#04_20170411,2025,Elin,160,320,145,both,260,1,ccw,0,210,cw,0,320,,,
73,LED,45,5,#05_20170411,2025,Elin,265,150,290,ccw,55,0,ccw,0,150,,,,,,
74,LED,45,6,#06_20170412,2025,Elin,505,135,325,both,340,1,cw,0,130,ccw,0,135,,,
75,LED,45,7,#07_20170412,2025,Elin,280,20,155,ccw,300,0,ccw,0,20,,,,,,
76,LED,45,8,#08_20170412,2025,Elin,380,110,230,ccw,130,0,ccw,1,110,,,,,,
77,LED,45,9,#09_20170412,2025,Elin,245,30,140,cw,145,0,cw,0,30,,,,,,
78,LED,45,10,#10_20170412,2025,Elin,40,5,215,ccw,45,0,ccw,0,5,,,,,,
79,LED,45,11,#11_20170412,2025,Elin,105,20,210,cw,275,0,cw,0,20,,,,,,
80,LED,45,12,#12_20170412,2025,Elin,330,5,260,both,135,1,ccw,0,85,cw,0,5,,,
81,LED,45,13,#13_20170418,2025,Elin,155,250,325,ccw,45,0,ccw,0,250,,,,,,
82,LED,45,14,#14_20170418,2025,Elin,75,175,345,both,210,1,cw,0,230,ccw,0,175,,,
83,LED,45,15,#15_20170418,2025,Elin,135,105,315,cw,330,0,cw,0,105,,,,,,
84,LED,45,16,#16_20170418,2025,Elin,155,180,325,both,255,1,cw,0,295,ccw,0,180,,,
85,LED,45,17,#17_20170418,2025,Elin,305,105,315,ccw,50,0,ccw,0,105,,,,,,
86,LED,45,18,#18_20170418,2025,Elin,NA,,,,NA,NA,NA,NA,NA,,,,,,
87,LED,45,19,#19_20170418,2025,Elin,135,50,220,ccw,185,0,ccw,0,50,,,,,,
88,LED,45,20,#20_20170418,2025,Elin,210,100,290,ccw,310,0,ccw,0,100,,,,,,
89,LED,45,21,#21_20170419,2025,Elin,270,40,255,cw,130,0,cw,0,40,,,,,,
90,LED,45,22,#22_20170419,2025,Elin,240,10,205,both,190,2,ccw,0,60,cw,0,90,ccw,0,10
91,LED,45,23,#23_20170419,2025,Elin,120,90,270,cw,330,0,cw,0,90,,,,,,
92,LED,45,24,#24_20170419,2025,Elin,150,45,205,both,165,1,cw,0,180,ccw,0,45,,,
93,LED,45,25,#25_20170419,2025,Elin,150,190,325,cw,40,0,cw,0,190,,,,,,
94,LED,45,26,#26_20170419,2025,Elin,155,70,300,ccw,225,0,ccw,0,70,,,,,,
95,LED,45,27,#27_20170419,2025,Elin,185,45,320,cw,220,0,cw,0,45,,,,,,
96,LED,45,28,#28_20170419,2025,Elin,45,220,130,both,235,1,cw,0,250,ccw,0,220,,,
97,LED,45,29,#29_20170419,2025,Elin,235,115,0,cw,240,0,cw,0,115,,,,,,
98,LED,45,30,#30_20170419,2025,Elin,70,215,300,both,225,1,ccw,0,185,cw,0,215,,,
99,LED,45,31,#31_20170419,2025,Elin,115,95,225,cw,340,0,cw,0,95,,,,,,
100,LED,45,32,#32_20170419,2025,Elin,195,150,30,both,305,1,cw,0,325,ccw,0,150,,,
101,LED,60,1,#01_20170411,2025,Elin,35,45,100,ccw,80,0,ccw,0,45,,,,,,
102,LED,60,2,#02_20170411,2025,Elin,120,315,50,cw,195,0,cw,0,315,,,,,,
103,LED,60,3,#03_20170411,2025,Elin,65,70,255,ccw,135,0,ccw,0,70,,,,,,
104,LED,60,4,#04_20170411,2025,Elin,205,355,165,cw,150,0,cw,0,355,,,,,,
105,LED,60,5,#05_20170411,2025,Elin,310,175,65,cw,225,0,cw,0,175,,,,,,
106,LED,60,6,#06_20170412,2025,Elin,225,120,60,cw,255,0,cw,0,120,,,,,,
107,LED,60,7,#07_20170412,2025,Elin,155,240,340,ccw,35,0,ccw,0,240,,,,,,
108,LED,60,8,#08_20170412,2025,Elin,185,35,160,cw,210,0,cw,0,35,,,,,,
109,LED,60,9,#09_20170412,2025,Elin,200,335,130,ccw,175,0,ccw,0,335,,,,,,
110,LED,60,10,#10_20170412,2025,Elin,135,320,145,cw,185,0,cw,0,320,,,,,,
111,LED,60,11,#11_20170412,2025,Elin,50,210,35,cw,160,0,cw,0,210,,,,,,
112,LED,60,12,#12_20170412,2025,Elin,190,190,15,cw,0,0,cw,0,190,,,,,,
113,LED,60,13,#13_20170418,2025,Elin,190,330,65,cw,140,0,cw,0,330,,,,,,
114,LED,60,14,#14_20170418,2025,Elin,110,345,185,ccw,95,0,ccw,0,345,,,,,,
115,LED,60,15,#15_20170418,2025,Elin,95,275,40,both,320,1,cw,0,345,ccw,0,275,,,
116,LED,60,16,#16_20170418,2025,Elin,100,240,65,cw,140,0,cw,0,240,,,,,,
117,LED,60,17,#17_20170418,2025,Elin,505,115,310,both,140,1,cw,0,200,ccw,1,115,,,
118,LED,60,18,#18_20170418,2025,Elin,NA,,,,,,,,,,,,,,
119,LED,60,19,#19_20170418,2025,Elin,275,310,170,cw,35,0,cw,0,310,,,,,,
120,LED,60,20,#20_20170418,2025,Elin,65,345,200,ccw,50,0,ccw,0,345,,,,,,
121,LED,60,21,#21_20170419,2025,Elin,425,290,155,cw,225,0,cw,1,290,,,,,,
122,LED,60,22,#22_20170419,2025,Elin,275,350,135,ccw,265,0,ccw,0,350,,,,,,
123,LED,60,23,#23_20170419,2025,Elin,240,300,140,cw,60,0,cw,0,300,,,,,,
124,LED,60,24,#24_20170419,2025,Elin,220,225,50,both,145,1,ccw,0,75,cw,0,225,,,
125,LED,60,25,#25_20170419,2025,Elin,260,240,55,ccw,140,0,ccw,0,240,,,,,,
126,LED,60,26,#26_20170419,2025,Elin,305,225,355,ccw,170,0,ccw,0,225,,,,,,
127,LED,60,27,#27_20170419,2025,Elin,225,110,30,both,295,1,ccw,0,270,cw,0,110,,,
128,LED,60,28,#28_20170419,2025,Elin,50,100,355,ccw,150,0,ccw,0,100,,,,,,
129,LED,60,29,#29_20170419,2025,Elin,25,345,60,cw,320,0,cw,0,345,,,,,,
130,LED,60,30,#30_20170419,2025,Elin,80,220,70,ccw,300,0,ccw,0,220,,,,,,
131,LED,60,31,#31_20170419,2025,Elin,30,15,160,cw,345,0,cw,0,15,,,,,,
132,LED,60,32,#32_20170419,2025,Elin,255,340,125,ccw,235,0,ccw,0,340,,,,,,
133,LED,75,1,#01_20170411,2025,Elin,180,105,350,ccw,285,0,ccw,0,105,,,,,,
134,LED,75,2,#02_20170411,2025,Elin,145,260,330,cw,115,0,cw,0,260,,,,,,
135,LED,75,3,#03_20170411,2025,Elin,240,10,170,both,180,1,ccw,0,155,cw,0,10,,,
136,LED,75,4,#04_20170411,2025,Elin,95,335,80,ccw,70,0,ccw,0,335,,,,,,
137,LED,75,5,#05_20170411,2025,Elin,20,95,315,cw,75,0,cw,0,95,,,,,,
138,LED,75,6,#06_20170412,2025,Elin,170,85,320,ccw,255,0,ccw,0,85,,,,,,
139,LED,75,7,#07_20170412,2025,Elin,285,65,295,ccw,350,0,ccw,0,65,,,,,,
140,LED,75,8,#08_20170412,2025,Elin,105,95,290,cw,350,0,cw,0,95,,,,,,
141,LED,75,9,#09_20170412,2025,Elin,30,55,220,both,55,1,cw,0,70,ccw,0,55,,,
142,LED,75,10,#10_20170412,2025,Elin,190,20,120,both,140,1,cw,0,175,ccw,0,20,,,
143,LED,75,11,#11_20170412,2025,Elin,135,240,95,both,185,1,ccw,0,145,cw,0,240,,,
144,LED,75,12,#12_20170412,2025,Elin,315,240,80,cw,285,0,cw,0,240,,,,,,
145,LED,75,13,#13_20170418,2025,Elin,255,255,80,cw,0,0,cw,0,255,,,,,,
146,LED,75,14,#14_20170418,2025,Elin,275,210,15,ccw,125,0,ccw,0,210,,,,,,
