index,condition,elevation,nr_in_cond,individual,year_extracted,person_extracted,total_rotation,go_down_angle_FACE,exit_angle_BUTT,rotation_category,placed_from_angle_FACE,nr_direction_changes,rotation_1_direction,full_lap_1,stop_1_angle_FACE,rotation_2_direction,full_lap_2,stop_2_angle_FACE,rotation_3_direction,full_lap_3,stop_3_angle_FACE
147,LED,75,15,#15_20170418,2025,Elin,190,110,310,ccw,300,0,ccw,0,110,,,,,,
148,LED,75,16,#16_20170418,2025,Elin,120,60,185,cw,300,0,cw,0,60,,,,,,
149,LED,75,17,#17_20170418,2025,Elin,130,100,245,ccw,230,0,ccw,0,100,,,,,,
150,LED,75,18,#18_20170418,2025,Elin,NA,,,,,,,,,,,,,,
151,LED,75,19,#19_20170418,2025,Elin,100,330,210,ccw,70,0,ccw,0,330,,,,,,
152,LED,75,20,#20_20170418,2025,Elin,80,105,310,cw,25,0,cw,0,105,,,,,,
153,LED,75,21,#21_20170419,2025,Elin,280,75,245,ccw,355,0,ccw,0,75,,,,,,
154,LED,75,22,#22_20170419,2025,Elin,450,40,225,cw,310,0,cw,1,40,,,,,,
155,LED,75,23,#23_20170419,2025,Elin,185,120,295,ccw,305,0,ccw,0,120,,,,,,
156,LED,75,24,#24_20170419,2025,Elin,155,125,300,cw,330,0,cw,0,125,,,,,,
157,LED,75,25,#25_20170419,2025,Elin,430,155,330,ccw,225,0,ccw,1,155,,,,,,
158,LED,75,26,#26_20170419,2025,Elin,275,40,245,both,195,1,ccw,0,160,cw,0,40,,,
159,LED,75,27,#27_20170419,2025,Elin,220,85,295,cw,225,0,cw,0,85,,,,,,
160,LED,75,28,#28_20170419,2025,Elin,25,155,355,cw,130,0,cw,0,155,,,,,,
161,LED,75,29,#29_20170419,2025,Elin,55,340,335,cw,285,0,cw,0,340,,,,,,
162,LED,75,30,#30_20170419,2025,Elin,105,350,320,cw,245,0,cw,0,350,,,,,,
163,LED,75,31,#31_20170419,2025,Elin,75,65,195,cw,350,0,cw,0,65,,,,,,
164,LED,75,32,#32_20170419,2025,Elin,385,260,160,ccw,285,0,ccw,1,260,,,,,,
165,LED,80,1,#01_20170509,2025,Elin,120,235,310,both,135,1,ccw,0,125,cw,0,235,,,
166,LED,80,2,#02_20170509,2025,Elin,535,350,180,both,215,1,ccw,0,195,cw,1,350,,,
167,LED,80,3,#03_20170509,2025,Elin,325,115,305,ccw,80,0,ccw,0,115,,,,,,
168,LED,80,4,#04_20170509,2025,Elin,315,65,260,both,210,1,ccw,0,160,cw,0,65,,,
169,LED,80,5,#05_20170509,2025,Elin,450,50,230,both,260,2,ccw,0,220,cw,0,340,ccw,0,50
170,LED,80,6,#06_20170509,2025,Elin,335,100,260,ccw,75,0,ccw,0,100,,,,,,
171,LED,80,7,#07_20170509,2025,Elin,195,80,325,cw,245,0,cw,0,80,,,,,,
172,LED,80,8,#08_20170509,2025,Elin,105,100,210,ccw,205,0,ccw,0,100,,,,,,
173,LED,80,9,#09_20170529,2025,Elin,185,20,275,cw,195,0,cw,0,20,,,,,,
174,LED,80,10,#10_20170529,2025,Elin,145,150,340,ccw,295,0,ccw,0,150,,,,,,
175,LED,80,11,#11_20170529,2025,Elin,NA,,,,,,,,,,,,,,
176,LED,80,12,#12_20170529,2025,Elin,145,145,40,ccw,290,0,ccw,0,145,,,,,,
177,LED,80,13,#13_20170529,2025,Elin,200,40,200,cw,200,0,cw,0,40,,,,,,
178,LED,80,14,#14_20170529,2025,Elin,40,260,280,ccw,300,0,ccw,0,260,,,,,,
179,LED,80,15,#15_20170529,2025,Elin,180,25,315,cw,205,0,cw,0,25,,,,,,
180,LED,80,16,#16_20170529,2025,Elin,210,320,80,cw,110,0,cw,0,320,,,,,,
181,LED,80,17,#17_20170529,2025,Elin,50,140,340,ccw,190,0,ccw,0,140,,,,,,
182,LED,80,18,#18_20170529,2025,Elin,235,75,285,ccw,310,0,ccw,0,75,,,,,,
183,LED,80,19,#19_20170529,2025,Elin,110,20,270,ccw,130,0,ccw,0,20,,,,,,
184,LED,80,20,#20_20170529,2025,Elin,190,330,330,ccw,160,0,ccw,0,330,,,,,,
185,LED,80,21,#21_20170616,2025,Elin,505,210,325,cw,65,0,cw,1,210,,,,,,
186,LED,80,22,#22_20170616,2025,Elin,400,60,200,cw,20,0,cw,1,60,,,,,,
187,LED,80,23,#23_20170619,2025,Elin,215,115,260,ccw,330,0,ccw,0,115,,,,,,
188,LED,80,24,#24_20170616,2025,Elin,225,185,20,cw,320,0,cw,0,185,,,,,,
189,LED,80,25,#25_20170619,2025,Elin,135,25,220,cw,250,0,cw,0,25,,,,,,
190,LED,80,26,#26_22062017,2025,Elin,325,285,85,both,80,1,ccw,0,20,cw,0,285,,,
191,LED,80,27,#27_20170622,2025,Elin,480,50,250,both,40,1,cw,0,105,ccw,1,50,,,
192,LED,80,28,#28_28062017,2025,Elin,155,110,200,both,215,1,cw,0,240,ccw,0,110,,,
193,LED,80,29,#29_27062017,2025,Elin,240,250,15,ccw,130,0,ccw,0,250,,,,,,
194,LED,85,1,#01_20170509,2025,Elin,275,75,175,both,200,1,ccw,0,180,cw,0,75,,,
195,LED,85,2,#02_20170509,2025,Elin,NA,,,,,,,,,,,,,,
196,LED,85,3,#03_20170509,2025,Elin,NA,,,,,,,,,,,,,,
197,LED,85,4,#04_20170509,2025,Elin,NA,,,,,,,,,,,,,,
198,LED,85,5,#05_20170509,2025,Elin,NA,,,,,,,,,,,,,,
199,LED,85,6,#06_20170509,2025,Elin,NA,,,,,,,,,,,,,,
200,LED,85,7,#07_20170509,2025,Elin,NA,,,,,,,,,,,,,,
201,LED,85,8,#08_20170509,2025,Elin,NA,,,,,,,,,,,,,,
202,LED,85,9,#09_20170529,2025,Elin,75,30,255,ccw,105,0,ccw,0,30,,,,,,
203,LED,85,10,#10_20170529,2025,Elin,125,5,170,ccw,130,0,ccw,0,5,,,,,,
204,LED,85,11,#11_20170529,2025,Elin,NA,,,,,,,,,,,,,,
205,LED,85,12,#12_20170529,2025,Elin,360,345,135,cw,345,0,cw,1,345,,,,,,
206,LED,85,13,#13_20170529,2025,Elin,440,340,85,ccw,60,0,ccw,1,340,,,,,,
207,LED,85,14,#14_20170529,2025,Elin,200,245,340,cw,45,0,cw,0,245,,,,,,
208,LED,85,15,#15_20170529,2025,Elin,100,215,20,cw,115,0,cw,0,215,,,,,,
209,LED,85,16,#16_20170529,2025,Elin,135,20,170,ccw,155,0,ccw,0,20,,,,,,
210,LED,85,17,#17_20170529,2025,Elin,195,165,95,cw,330,0,cw,0,165,,,,,,
211,LED,85,18,#18_20170529,2025,Elin,95,235,350,cw,140,0,cw,0,235,,,,,,
212,LED,85,19,#19_20170529,2025,Elin,110,125,200,ccw,235,0,ccw,0,125,,,,,,
213,LED,85,20,#20_20170529,2025,Elin,160,310,150,both,280,1,ccw,0,215,cw,0,310,,,
214,LED,85,21,#21_20170616,2025,Elin,570,5,215,both,215,1,ccw,0,160,ccw,1,5,,,
215,LED,85,22,#22_20170616,2025,Elin,55,155,180,ccw,210,0,ccw,0,155,,,,,,
216,LED,85,23,#23_20170619,2025,Elin,215,95,110,cw,240,0,cw,0,95,,,,,,
217,LED,85,24,#24_20170616,2025,Elin,195,105,110,both,320,1,ccw,0,295,cw,0,105,,,
218,LED,85,25,#25_20170619,2025,Elin,505,15,35,both,220,1,cw,0,10,ccw,0,15,,,
219,LED,85,26,#26_22062017,2025,Elin,35,45,195,cw,10,0,cw,0,45,,,,,,
220,LED,85,27,#27_20170622,2025,Elin,350,55,175,cw,65,0,cw,0,55,,,,,,
221,LED,85,28,#28_28062017,2025,Elin,30,40,180,cw,10,0,cw,0,40,,,,,,
222,LED,85,29,#29_27062017,2025,Elin,440,45,60,cw,315,0,cw,0,220,ccw,0,45,,,
223,LED,90,1,#01_20170328,2025,Elin,595,230,310,both,85,1,ccw,0,40,cw,1,230,,,
224,LED,90,2,#02_20170328,2025,Elin,NA,,,,NA,NA,NA,NA,NA,,,,,,
225,LED,90,3,#03_20170328,2025,Elin,NA,,,,NA,NA,NA,NA,NA,,,,,,
226,LED,90,4,#04_20170328,2025,Elin,615,70,215,both,305,1,ccw,1,240,cw,0,70,,,
227,LED,90,5,#05_20170329,2025,Elin,70,315,200,both,5,1,cw,0,15,ccw,0,315,,,
228,LED,90,6,#06_20170329,2025,Elin,535,195,0,both,120,1,cw,0,65,ccw,0,195,,,
229,LED,90,7,#07_20170329,2025,Elin,110,250,325,ccw,0,0,ccw,0,250,,,,,,
230,LED,90,8,#08_20170329,2025,Elin,120,185,30,ccw,305,0,ccw,0,185,,,,,,
231,LED,90,9,#09_20170329,2025,Elin,260,45,300,ccw,305,0,ccw,0,45,,,,,,
232,LED,90,10,#10_20170329,2025,Elin,220,205,355,ccw,65,0,ccw,0,205,,,,,,
233,LED,90,11,#11_20170329,2025,Elin,NA,,,,NA,NA,NA,NA,NA,,,,,,
234,LED,90,12,#12_20170329,2025,Elin,1630,45,75,both,285,1,ccw,1,70,cw,2,45,,,
235,LED,90,13,#13_20170329,2025,Elin,530,125,255,cw,315,0,cw,1,125,,,,,,
236,LED,90,14,#14_20170329,2025,Elin,75,225,10,cw,150,0,cw,0,225,,,,,,
237,LED,90,15,#15_20170329,2025,Elin,450,110,270,both,250,1,cw,0,45,ccw,0,110,,,
238,LED,90,16,#16_20170329,2025,Elin,215,120,275,ccw,335,0,ccw,0,120,,,,,,
239,LED,90,17,#17_20170330,2025,Elin,125,105,10,both,50,1,ccw,0,15,cw,0,105,,,
240,LED,90,18,#18_20170330,2025,Elin,670,210,110,both,300,1,ccw,1,280,cw,0,210,,,
241,LED,90,19,#19_20170330,2025,Elin,75,175,305,both,130,1,ccw,0,115,cw,0,175,,,
242,LED,90,20,#20_20170330,2025,Elin,255,250,20,ccw,145,0,ccw,0,250,,,,,,
243,LED,90,21,#21_20170330,2025,Elin,630,85,195,both,45,2,ccw,0,30,cw,1,185,ccw,0,85
244,LED,90,22,#22_20170330,2025,Elin,70,270,115,both,240,1,ccw,0,220,cw,0,270,,,
245,LED,90,23,,2025,Elin,NA,,,,NA,NA,NA,NA,NA,,,,,,
246,LED,90,24,,2025,Elin,NA,,,,NA,NA,NA,NA,NA,,,,,,
247,LED,90,25,,2025,Elin,NA,,,,NA,NA,NA,NA,NA,,,,,,
248,LED,90,26,,2025,Elin,NA,,,,NA,NA,NA,NA,NA,,,,,,
249,LED,90,27,,2025,Elin,NA,,,,NA,NA,NA,NA,NA,,,,,,
250,LED,90,28,,2025,Elin,NA,,,,NA,NA,NA,NA,NA,,,,,,
251,LED,90,29,#29_20170331,2025,Elin,395,310,120,cw,275,0,cw,1,310,,,,,,
252,LED,90,30,,2025,Elin,NA,,,,NA,NA,NA,NA,NA,,,,,,
253,LED,90,31,#31_20170331,2025,Elin,335,320,40,both,45,1,ccw,0,15,cw,0,320,,,
254,LED,90,32,#32_20170331,2025,Elin,300,170,35,cw,230,0,cw,0,170,,,,,,
255,LED,90,33,#33_20170331,2025,Elin,195,100,115,ccw,295,0,ccw,0,100,,,,,,
256,LED,90,34,#34_20170403,2025,Elin,225,85,290,cw,220,0,cw,0,85,,,,,,
257,LED,90,35,#35_20170403,2025,Elin,135,350,220,cw,215,0,cw,0,350,,,,,,
258,LED,90,36,#36_20170403,2025,Elin,60,30,195,ccw,90,0,ccw,0,30,,,,,,
259,LED,90,37,#37_20170403,2025,Elin,100,30,175,ccw,130,0,ccw,0,30,,,,,,
260,LED,90,38,#38_20170403,2025,Elin,375,265,60,cw,250,0,cw,1,265,,,,,,
261,LED,90,39,#39_20170403,2025,Elin,235,90,150,cw,215,0,cw,0,90,,,,,,
262,dark,0,1,#01_20170328,2025,Elin,415,100,260,cw,45,0,cw,1,100,,,,,,
263,dark,0,2,#02_20170328,2025,Elin,15,40,255,cw,25,0,cw,0,40,,,,,,
264,dark,0,3,#03_20170328,2025,Elin,20,140,260,cw,120,0,cw,0,140,,,,,,
265,dark,0,4,#04_20170328,2025,Elin,50,270,50,cw,220,0,cw,0,270,,,,,,
266,dark,0,5,#05_20170329,2025,Elin,345,20,195,ccw,5,0,ccw,0,20,,,,,,
267,dark,0,6,#06_20170329,2025,Elin,375,145,90,cw,130,0,cw,1,145,,,,,,
268,dark,0,7,#07_20170329,2025,Elin,NA,,,,NA,NA,NA,NA,NA,,,,,,
269,dark,0,8,#08_20170329,2025,Elin,NA,,,,NA,NA,NA,NA,NA,,,,,,
270,dark,0,9,#09_20170329,2025,Elin,1435,180,350,both,85,1,cw,2,310,ccw,1,180,,,
271,dark,0,10,#10_20170329,2025,Elin,320,180,245,ccw,140,0,ccw,0,180,,,,,,
272,dark,0,11,#11_20170329,2025,Elin,NA,,,,NA,NA,NA,NA,NA,,,,,,
273,dark,0,12,#12_20170329,2025,Elin,395,145,310,cw,110,0,cw,1,145,,,,,,
274,dark,0,13,#13_20170329,2025,Elin,340,30,140,ccw,10,0,ccw,0,30,,,,,,
275,dark,0,14,#14_20170329,2025,Elin,245,240,10,ccw,125,0,ccw,0,240,,,,,,
276,dark,0,15,#15_20170329,2025,Elin,485,5,140,ccw,130,0,ccw,1,5,,,,,,
277,dark,0,16,#16_20170329,2025,Elin,290,180,335,ccw,110,0,ccw,0,180,,,,,,
278,dark,0,17,#17_20170330,2025,Elin,NA,,,,NA,NA,NA,NA,,,,,,,
279,dark,0,18,#18_20170330,2025,Elin,325,145,330,cw,180,0,cw,0,145,,,,,,
280,dark,0,19,#19_20170330,2025,Elin,210,180,280,both,350,1,cw,0,10,ccw,0,180,,,
281,dark,0,20,#20_20170330,2025,Elin,260,80,220,ccw,340,0,ccw,0,80,,,,,,
282,dark,0,21,#21_20170330,2025,Elin,75,65,95,ccw,140,0,ccw,0,65,,,,,,
283,dark,0,22,#22_20170330,2025,Elin,215,340,125,both,155,1,cw,0,175,ccw,0,340,,,
284,dark,0,23,,2025,Elin,NA,,,,,,,,,,,,,,
285,dark,0,24,,2025,Elin,NA,,,,,,,,,,,,,,
286,dark,0,25,,2025,Elin,NA,,,,,,,,,,,,,,
287,dark,0,26,,2025,Elin,NA,,,,,,,,,,,,,,
288,dark,0,27,,2025,Elin,NA,,,,,,,,,,,,,,
289,dark,0,28,,2025,Elin,NA,,,,,,,,,,,,,,
290,dark,0,29,#29_20170331,2025,Elin,75,285,340,cw,210,0,cw,0,285,,,,,,
291,dark,0,30,#30_20170331,2025,Elin,1150,40,215,both,280,2,ccw,0,35,cw,1,310,ccw,0,40
292,dark,0,31,#31_20170331,2025,Elin,255,175,295,ccw,70,0,ccw,0,175,,,,,,
293,dark,0,32,#32_20170331,2025,Elin,885,15,85,both,180,1,cw,1,0,ccw,0,15,,,
294,dark,0,33,#33_20170331,2025,Elin,280,20,285,cw,100,0,cw,0,20,,,,,,
295,dark,0,34,#34_20170403,2025,Elin,320,335,195,both,175,1,ccw,0,275,cw,0,335,,,
296,dark,0,35,#35_20170403,2025,Elin,160,355,60,cw,195,0,cw,0,355,,,,,,
297,dark,0,36,#36_20170403,2025,Elin,190,130,340,ccw,320,0,ccw,0,130,,,,,,
298,dark,0,37,#37_20170403,2025,Elin,265,85,230,cw,180,0,cw,0,85,,,,,,
299,dark,0,38,#38_20170403,2025,Elin,135,270,80,cw,135,0,cw,0,270,,,,,,
300,dark,0,39,#39_20170403,2025,Elin,30,0,290,cw,330,0,cw,0,0,,,,,,
